id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_wisatawan,jumlah_pengunjung,satuan,tahun
232,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,NUSANTARA,3571,ORANG,2018
277,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,NUSANTARA,3215063,ORANG,2019
276,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,MANCANEGARA,12233,ORANG,2019
331,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,NUSANTARA,3939992,ORANG,2020
330,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,MANCANEGARA,514,ORANG,2020
385,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,NUSANTARA,3604113,ORANG,2021
384,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,MANCANEGARA,15,ORANG,2021
36,32,JAWA BARAT,3271,KOTA BOGOR,NUSANTARA,5293040,ORANG,2014
35,32,JAWA BARAT,3271,KOTA BOGOR,MANCANEGARA,104075,ORANG,2014
90,32,JAWA BARAT,3271,KOTA BOGOR,NUSANTARA,5293040,ORANG,2015
89,32,JAWA BARAT,3271,KOTA BOGOR,MANCANEGARA,104075,ORANG,2015
144,32,JAWA BARAT,3271,KOTA BOGOR,NUSANTARA,5293040,ORANG,2016
143,32,JAWA BARAT,3271,KOTA BOGOR,MANCANEGARA,13217,ORANG,2016
198,32,JAWA BARAT,3271,KOTA BOGOR,NUSANTARA,5875274,ORANG,2017
