id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_usaha,satuan,tahun,jenis_jasa
197,32,JAWA BARAT,3209,KABUPATEN CIREBON,0,UNIT,2021,jasa informasi
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,0,UNIT,2014,jasa informasi
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,0,UNIT,2014,jasa konsultan pariwisata
36,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,0,UNIT,2015,jasa informasi
36,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,0,UNIT,2015,jasa konsultan pariwisata
63,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,0,UNIT,2016,jasa informasi
63,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,0,UNIT,2016,jasa konsultan pariwisata
90,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,0,UNIT,2017,jasa informasi
90,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,0,UNIT,2017,jasa konsultan pariwisata
117,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,0,UNIT,2018,jasa informasi
117,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,0,UNIT,2018,jasa konsultan pariwisata
144,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,0,UNIT,2019,jasa informasi
144,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,0,UNIT,2019,jasa konsultan pariwisata
173,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,0,UNIT,2020,jasa informasi
171,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,0,UNIT,2020,jasa konsultan pariwisata
198,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,0,UNIT,2021,jasa informasi
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,0,UNIT,2014,jasa informasi
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,0,UNIT,2014,jasa konsultan pariwisata
37,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,0,UNIT,2015,jasa informasi
37,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,0,UNIT,2015,jasa konsultan pariwisata
64,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,0,UNIT,2016,jasa informasi
64,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,0,UNIT,2016,jasa konsultan pariwisata
91,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,0,UNIT,2017,jasa informasi
91,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,0,UNIT,2017,jasa konsultan pariwisata
