kode_kabupaten_kota,nama_kabupaten_kota,jumlah,jenis_akomodasi,tahun
3208,KABUPATEN KUNINGAN,37,HOTEL,2018
3208,KABUPATEN KUNINGAN,85,HOMESTAY,2018
3208,KABUPATEN KUNINGAN,20,PERKEMAHAN,2018
3208,KABUPATEN KUNINGAN,39,HOTEL,2019
3208,KABUPATEN KUNINGAN,85,HOMESTAY,2019
3208,KABUPATEN KUNINGAN,0,PERKEMAHAN,2019
3208,KABUPATEN KUNINGAN,40,HOTEL,2020
3208,KABUPATEN KUNINGAN,85,HOMESTAY,2020
3208,KABUPATEN KUNINGAN,23,PERKEMAHAN,2020
3208,KABUPATEN KUNINGAN,41,HOTEL,2021
3208,KABUPATEN KUNINGAN,85,HOMESTAY,2021
3208,KABUPATEN KUNINGAN,23,PERKEMAHAN,2021
3209,KABUPATEN CIREBON,4,HOTEL,2014
3209,KABUPATEN CIREBON,0,PERKEMAHAN,2014
3209,KABUPATEN CIREBON,4,HOTEL,2015
3209,KABUPATEN CIREBON,0,PERKEMAHAN,2015
3209,KABUPATEN CIREBON,4,HOTEL,2016
3209,KABUPATEN CIREBON,0,PERKEMAHAN,2016
3209,KABUPATEN CIREBON,4,HOTEL,2017
3209,KABUPATEN CIREBON,0,PERKEMAHAN,2017
3209,KABUPATEN CIREBON,25,HOTEL,2018
3209,KABUPATEN CIREBON,0,HOMESTAY,2018
3209,KABUPATEN CIREBON,4,PERKEMAHAN,2018
3209,KABUPATEN CIREBON,25,HOTEL,2019
3209,KABUPATEN CIREBON,0,HOMESTAY,2019
3209,KABUPATEN CIREBON,9,PERKEMAHAN,2019
3209,KABUPATEN CIREBON,28,HOTEL,2020
3209,KABUPATEN CIREBON,0,HOMESTAY,2020
3209,KABUPATEN CIREBON,7,PERKEMAHAN,2020
3209,KABUPATEN CIREBON,28,HOTEL,2021
3209,KABUPATEN CIREBON,0,HOMESTAY,2021
3209,KABUPATEN CIREBON,7,PERKEMAHAN,2021
3210,KABUPATEN MAJALENGKA,0,HOTEL,2014
3210,KABUPATEN MAJALENGKA,0,PERKEMAHAN,2014
3210,KABUPATEN MAJALENGKA,0,HOTEL,2015
3210,KABUPATEN MAJALENGKA,0,PERKEMAHAN,2015
3210,KABUPATEN MAJALENGKA,0,HOTEL,2016
3210,KABUPATEN MAJALENGKA,0,PERKEMAHAN,2016
3210,KABUPATEN MAJALENGKA,0,HOTEL,2017
3210,KABUPATEN MAJALENGKA,0,PERKEMAHAN,2017
3210,KABUPATEN MAJALENGKA,14,HOTEL,2018
3210,KABUPATEN MAJALENGKA,0,HOMESTAY,2018
3210,KABUPATEN MAJALENGKA,6,PERKEMAHAN,2018
3210,KABUPATEN MAJALENGKA,15,HOTEL,2019
